Job_Category,Title,Company,Location,Description,Via
Data Scientist,Senior AI Data Scientist - Consumer Lending,Experian,United States,"Experian is looking for an experienced Senior AI Data Scientist to join our Analytic Innovations group. This individual contributor role will focus on developing agentic AI solutions and advanced marketing analytics models that drive strategic decision-making across the consumer credit lifecycle. The ideal candidate will have deep technical expertise in coding intelligent agents, experience in marketing analytics for consumer lending products with strong modelling acumen plus a passion for applying AI to real-world challenges in financial services. This is a fully remote position. You will report to the VP of Analytics Consulting.

You'll have opportunity to:
• Design, code and test AI agents that support autonomous decision-making in marketing campaigns, customer acquisition, and portfolio optimization.
• Apply hands-on coding knowledge to create agentic AI techniques to solve complex business problems in consumer lending.
• Conduct exploratory data analysis and develop predictive models using credit bureau data and other consumer datasets.
• Prototype and iterate on intelligent agent behaviors using Python, Spark and modern agentic frameworks.
• Support the deployment and monitoring of AI models in production environments, ensuring performance, reliability and compliance.
• Collaborate with internal stakeholders to translate business requirements into scalable AI solutions.
• Contribute to the development of new analytical products and services that enhance marketing effectiveness and customer engagement.

About Experian

Experian is a global data and technology company, powering opportunities for people and businesses around the world. We help to redefine lending practices, uncover and prevent fraud, simplify healthcare, create marketing solutions, and gain deeper insights into the automotive market, all using our unique combination of data, analytics and software. We also assist millions of people to realize their financial goals and help them save time and money.

We operate across a range of markets, from financial services to healthcare, automotive, agribusiness, insurance, and many more industry segments.

We invest in people and new advanced technologies to unlock the power of data. As a FTSE 100 Index company listed on the London Stock Exchange (EXPN), we have a team of 22,500 people across 32 countries. Our corporate headquarters are in Dublin, Ireland. Learn more at experianplc.com.

Experience and Skills
• Proven expertise in advanced Python programming, including experience with data manipulation, modeling and deployment in cloud environments.
• Proficient in leveraging big data platforms for scalable analytics and deployment
• Hands-on experience building agentic AI frameworks or tools, including autonomous agents
• Ability to manage multiple projects and deliver high-impact results.
• Experience with cloud-based data platforms and production-grade ML deployment.
• 5+ years of experience in consumer lending marketing analytics; including a strong understanding of consumer credit data and marketing analytics methodologies

Additional Information

Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward & recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best Workplaces™ 2024 (Fortune Top 25), Great Place To Work™ in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.

Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.",Experian
Data Scientist,Data Scientist 3,Oracle,United States,"Develops robust algorithms, automated processes, and software programs to cleanse, integrate, and evaluate diverse datasets from multiple sources. Utilizes machine learning techniques to build predictive models and generate insights that drive business value. Translates complex data findings into clear, impactful insights and communicates results effectively to product, service, and business managers. Implements tools and frameworks to operationalize insights and ML models into scalable solutions.",Sign In To Oracle
Data Scientist,"Data Scientist, GeminiApp, Ecosystems",Google DeepMind,United States,"About Us

Artificial Intelligence could be one of humanity’s most useful inventions. At Google DeepMind, we’re a team of scientists, engineers, machine learning experts and more, working together to advance the state of the art in artificial intelligence. We use our technologies for widespread public benefit and scientific discovery, and collaborate with others on critical challenges, ensuring safety and ethics are the highest priority.

The Role
• Our team, GeminiApp, is on a mission to build a universal AI assistant that will empower billions of people. We are creating a personal, proactive, and powerful life assistant that will be used multiple times a day to increase productivity and creativity by 10 to 100-fold. Our work is shaping how humanity interacts with AI at scale.
• As a Data Scientist on the GeminiApp team, you are a key partner and co-creator in our product strategy. You will be instrumental in building a uniquely proactive and powerful assistant by ensuring our strategic decisions are grounded in data. This is a high-impact role for a data scientist who is excited about working in a fast-paced, innovative environment and who is passionate about building user-centered experiences that will redefine our relationship with technology.
• As part of the Ecosystem Data Science team, you will use data to produce insights on emerging trends across all of GeminiApp and our competitors. Your work will be highly visible and highly impactful: this team’s output regularly influences decision-making at the VP+ levels.

Key responsibilities:
• Translate ambiguous questions into well-defined problems
• Analyze large complex datasets to produce concise, actionable insights
• Communicate findings and recommendations to executive stakeholders, including visualizing data in a clear, compelling way
• Develop, implement, and track top-level product and business metrics
• Dive into metric developments and changes, and identify key drivers and root causes
• Automate currently manual metric reporting flows and outputs
• Build and deploy statistical/ML models to understand our users and product capabilities
• Partner with product, engineering, and UX to develop data-driven product insights and strategies
• Champion data-driven culture by feeding user engagement insights back into models

About You

In order to set you up for success as a Data Scientist at Google DeepMind, we look for the following skills and experience:
• Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.
• 5 years of experience with analysis applications (e.g., extracting insights, performing statistical analysis, or solving business problems), and coding (e.g., Python, R, SQL) or 2 years of experience with a Master's degree.
• 2 years of work experience identifying opportunities for business/product improvement and then defining/measuring the success of those initiatives.

In addition, the following would be an advantage:
• Proven experience in identifying data-driven opportunities for business/product improvement and defining/measuring the success of those initiatives
• Proven experience in setting up, maintaining, and reporting on top-line product performance and business metrics
• Strong communication, writing, and presentation skills
• Past experience on a performance or growth data science or similar team
• Experience with experimental design and analysis
• Experience working with large and messy datasets to solve ambiguous business problems
• Ability to self-start and self-direct work in an unstructured, fast-paced, challenging environment
• A bias for action and creative problem-solving and ability to work effectively across functions and PAs

Why You'll Love Working Here

Impact: You'll have a direct and meaningful impact on a product designed to empower billions of people and be one of the greatest forces for good in the world.

Growth: We're a fast-growing team within Google, and you'll have the opportunity to evolve quickly to meet changing user needs.

Team & Culture: You'll work with a talented and passionate team of people who are excited about what they do and have fun doing it.

The US base salary range for this full-time position is between $156,000- $229,000 + bonus + equity + benefits. Your recruiter can share more about the specific salary range for your targeted location during the hiring process.

Application deadline: November 14, 2025

Note: In the event your application is successful and an offer of employment is made to you, any offer of employment will be conditional on the results of a background check, performed by a third party acting on our behalf. For more information on how we handle your data, please see our Applicant and Candidate Privacy Policy

At Google DeepMind, we value diversity of experience, knowledge, backgrounds and perspectives and harness these qualities to create extraordinary impact. We are committed to equal employment opportunity regardless of sex, race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, pregnancy, or related condition (including breastfeeding) or any other basis as protected by applicable law. If you have a disability or additional need that requires accommodation, please do not hesitate to let us know.",LinkedIn
Data Scientist,"Data Scientist II, Growth Marketing",Pinterest,Anywhere,"About Pinterest:

Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we’re on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product.

Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other’s unique experiences and embrace the flexibility to do your best work. Creating a career you love? It’s Possible.

We are looking for a Data Scientist to join our marketing org. As a Data Scientist you introduce greater scientific rigor into the marketing measurement and optimization processes to shape Pinterest’s revenue growth and marketing strategy. The results of your work will influence and drive strategic decisions for the company - identify investment opportunities for growth, understand revenue growth and behavior, and define metrics to grow and sustain our advertiser base. You will collaborate on a wide array of business problems with a diverse set of cross-functional partners across Marketing, Product, Engineering, Analytics and others.

The role is within the Marketing team and would be supporting business marketing efforts focused on driving revenue growth for Pinterest.

What you’ll do:
• Lead the design, implementation, and continuous improvement of advanced marketing measurement frameworks and statistical models to quantify marketing ROI. Marketing channels could be different paid media, organic social, email, in person events, webinars, elearning platform etc.
• Build and deploy statistical and machine learning models such as propensity, forecasting, and lifetime value (LTV) models—to optimize marketing strategies and enhance audience targeting.
• Develop and refine attribution methodologies to evaluate the effectiveness of marketing initiatives across multiple channels.
• Assess the incremental impact of marketing activities using causal inference techniques and testing/experiment frameworks.
• Conduct deep, strategic analyses to address key business questions, such as how to improve marketing ROI, how to improve marketing budget allocation to optimize the business impact, measuring the impact of marketing in both mature and new markets, identifying opportunities to increase advertiser growth and revenue through marketing initiatives
• Translate complex analytical findings into clear, actionable insights and strategic recommendations for both technical and non-technical stakeholders, including senior leadership.
• Design, maintain, and promote dashboards and automated reporting tools to empower stakeholders with self-serve, data-driven decision-making capabilities. Build and optimize ETL data pipelines to automate reporting, support deep dive analysis and feature engineering for analytical models.

What we’re looking for:
• 5+ years of combined post-graduate academic and industry experience applying scientific methods to solve real-world problems.
• Masters degree in a quantitative field such as mathematics, statistics, computer science or engineering.
• Hands-on experiences with building marketing measurement solutions to quantify the business impact of marketing tactics and investments.
• Strong background in statistics and quantitative analysis, with experience in applying advanced statistical techniques to real-world problems.
• Expertise in at least one scripting language (ideally Python/R). Proficiency in SQL/Hive. Ability to write efficient SQL queries.
• Strong business and product sense. Strong skills in shaping vague questions into well-defined analyses and success metrics that drive business decisions.
• Excellent communication skills, able to lead initiatives and communicate findings to the leadership and cross-functional teams. Explains work and thought processes clearly and concisely.
• Experience leading key technical projects.
• Strong Experimentation background.
• Statistical rigor. Experience with causal inference projects.

In-Office Requirement Statement:
• We let the type of work you do guide the collaboration style. That means we're not always working in an office, but we continue to gather for key moments of collaboration and connection.
• This role will need to be in the office for in-person collaboration 1-2 times/quarter and therefore can be situated anywhere in the country.

Relocation Statement:
• This position is not eligible for relocation assistance. Visit our PinFlex page to learn more about our working model.

#LI-REMOTE

#LI-NM4

At Pinterest we believe the workplace should be equitable, inclusive, and inspiring for every employee. In an effort to provide greater transparency, we are sharing the base salary range for this position. The position is also eligible for equity. Final salary is based on a number of factors including location, travel, relevant prior experience, or particular skills and expertise.

Information regarding the culture at Pinterest and benefits available for this position can be found here.

US based applicants only
$113,166—$232,988 USD

Our Commitment to Inclusion:
Pinterest is an equal opportunity employer and makes employment decisions on the basis of merit. We want to have the best qualified people in every job. All qualified applicants will receive consideration for employment without regard to race, color, ancestry, national origin, religion or religious creed, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, age, marital status, status as a protected veteran, physical or mental disability, medical condition, genetic information or characteristics (or those of a family member) or any other consideration made unlawful by applicable federal, state or local laws. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you require a medical or religious accommodation during the job application process, please complete this form for support.",Pinterest Careers
Data Scientist,Data Scientist(W2 Only),Quantum Solutions,Anywhere,"Position Senior Data Scientist

Location Remote

Duration Long Term Contract

Overview:

We are seeking a Senior Data Scientist to develop and apply advanced measurement and attribution models. This role focuses on causal inference, experimentation, and performance evaluation to support strategic decision-making across Digital, Commercial, Finance, and Technology teams.

Key Responsibilities
• Build and apply attribution and causal models (e.g., multi-touch attribution, experimental design).
• Design and analyze experiments to evaluate program effectiveness and user behavior.
• Apply best practices in causal inference and statistical modeling.
• Translate business objectives into measurable outcomes.
• Deliver insights on performance, lifetime value, and incremental impact.
• Collaborate with cross-functional teams to implement measurement frameworks.

Minimum Qualifications
• Bachelor’s degree in Statistics, Econometrics, Economics, Data Science, or a related field.
• 5–10 years of experience in measurement, attribution, or applied data science.
• Proficiency in R (preferred) or Python for statistical modeling and experimentation.
• Experience with modern data platforms such as Databricks and Redshift in production environments.
• Expertise in A/B testing, causal inference, and advanced modeling techniques.
• Ability to work across technical and non-technical teams in a matrixed environment.

Preferred Qualifications
• Advanced degree (Master’s or PhD) in Statistics, Econometrics, Economics, Data Science, or a related field.
• Experience applying measurement science in consumer-facing industries.
• Familiarity with AWS-based infrastructure and scalable experimentation frameworks.
• Experience in the alcohol beverage industry or similar consumer sectors.

Job Type: Contract

Pay: $75.00 - $80.00 per hour

Expected hours: 40 per week

Experience:
• Data science: 10 years (Required)
• Python: 7 years (Required)
• R Programming: 6 years (Required)
• Databrick: 5 years (Required)
• Redshift: 6 years (Required)
• AWS: 7 years (Required)
• A/B testing: 6 years (Required)
• Analytical thinking: 6 years (Required)
• Measurement Science: 6 years (Required)

Work Location: Remote",Indeed
Data Scientist,Data Scientist/Cost Engineer (TS clearance required),Lockheed Martin,"Littleton, CO","Description:Space is a critical domain, connecting our technologies, our security and our humanity. While others view space as a destination, we see it as a realm of possibilities, where we can do more— we can innovate, invest, inspire and integrate our capabilities to transform the future. At Lockheed Martin Space, we aim to harness the full potential of space to cultivate innovation, reduce costs, and push the boundaries of what technology can achieve. We’re creating future-ready solutions, focusing on resiliency and urgency through our 21st Century Security® vision. We’re erasing boundaries and forming partnerships across industries and around the world. We’re advancing spacecraft and the workforce to fuel the next generation. And we’re reimagining how space can connect us, ensuring security and prosperity. Join us in shaping a new era in space and find a career that's built for you.

The Predictive Analytics and Cost Engineering (PACE) team is a data science team that combines technical engineering attributes and financial information to create data-driven cost estimates for program capture and support. The PACE team collects, normalizes and maps data to a standard work breakdown structure (WBS) to perform data analytics for internal and external customer support and deliverables. As part of the Finance and Business Operations (F&BO) organization, this team also works closely with Engineering and Technology (E&T), Strategy and Business Development (S&BD), Program/Proposal Management and Leads, Executive leadership and external customers.
In particular, this position would be in support of significant programs/capture efforts across the lines of business (LOB). This may also involve proposal and/or data analytics and cost estimating tool development or enhancements.
The role may include working on affordability analysis, life cycle cost developments, cost data analytics, forecasting cost and schedule, data collection and normalization, and design to cost. The candidate selected will be asked to analyze multiple data sets to build engineering models, synthesize results, perform decision analysis, and communicate findings with engineering colleagues and internal decision makers.

Responsibilities
In this position, you will:
• Coordinate with Engineering, Business Development, Program Finance, Estimating, Proposal Management, and ICE around cost estimates.
• Be comfortable supporting development of AI/ML tools collaborating with the above organizations
• Present briefings to colleagues, senior staff, and executives.
• Develop data-driven cost estimates for proposal efforts that are parametrically derived.
• Normalize cost and technical data.
• Become knowledgeable and responsible to answer questions around cost estimates and cost drivers.
Basic Qualifications:
- Bachelor's or higher level degree in Math, Operations Research, Engineering, Finance, or any other related field or equivalent years of experience in lie of degree is also considered
- Currently active TS Clearance
- Strong communication/ interpersonal skills
- Critical thinking and problem-solving abilities
- Detail-oriented with ability to multitask, prioritize and balance multiple tasks at once
- Comfortable navigating technical or cost data with the intent of understanding the relationship between them when working a task and/or presenting results
- High degree of accountability and responsibility with the ability to be a self-starter
- Experience with and understanding of one or more of the following: cost model development or data collection and normalization or data science or data analytics or systems engineering/architecture or spacecraft engineering fields or finance or anything else related
Desired Skills:
• Master's degree in Math, Operations Research, Engineering, Finance, or related field
• Experience with Python, Visual Basic for Applications (VBA), and/or MS SQL
• Experience with Power BI and/or Tableau
• Experience working with cost models, predictive analytics, or decision analysis
• Knowledge of financial systems, analysis, statistics, etc.
• Experience working within the space systems industry
• Knowledge of data management systems and/or data science
• Ability to communicate technically oriented material to broader team
• Familiarity with proposal development and/or the government acquisition process
• Strong team collaboration and leadership skills
•2+ years of related experience
• Currently active TS/ SCI clearance
Security Clearance Statement: This position requires a government security clearance, you must be a US Citizen for consideration.
Clearance Level: TS/SCI
Other Important Information You Should Know
Expression of Interest: By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.
Ability to Work Remotely: Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.
Work Schedules: Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
Schedule for this Position: 9x80 every other Friday off
Pay Rate: The annual base salary range for this position in California, Massachusetts, and New York (excluding most major metropolitan areas), Colorado, Hawaii, Illinois, Maryland, Minnesota, New Jersey, Vermont, Washington or Washington DC is $86,100 - $151,800. For states not referenced above, the salary range for this position will reflect the candidate’s final work location. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.
Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.
(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental absences and other reasons; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of Vacation per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO, Vacation, sick leave, and holiday hours are prorated based on start date during the calendar year.
This position is incentive plan eligible.
Lockheed Martin is an equal opportunity employer. Qualified candidates will be considered without regard to legally protected characteristics.
The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.
At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.

With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.

If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.
Experience Level: Experienced Professional
Business Unit: SPACE
Relocation Available: Possible
Career Area: Data Science
Type: Full-Time
Shift: First",Lockheed Martin Careers
Data Scientist,[Remote] Sr.Data Scientist,Jobs via Dice,Anywhere,"Note: The job is a remote job and is open to candidates in USA. Dice is the leading career destination for tech experts at every stage of their careers, and they are seeking a Senior Data Scientist for their client, Universal Business Consulting. The role involves analyzing operational healthcare data and developing machine learning models to improve patient outcomes and healthcare management.

Responsibilities
• Analyze operational healthcare data to uncover trends, patterns, and actionable insights.
• Develop and deploy machine learning models for use cases such as risk stratification, patient outcomes prediction, readmission analysis, and population health management.
• Apply NLP techniques for processing unstructured medical notes, prescriptions, and patient feedback.
• Ensure data quality, compliance, and security in accordance with HIPAA and other healthcare regulations.
• Evaluate and communicate analytical results to non-technical stakeholders with clear visualizations and storytelling.

Skills
• Bachelor s or Master s degree in Computer Science, Statistics, Data Science, Mathematics, or related field.
• 10 years of experience in data science or machine learning.
• Proficiency in Python (NumPy, pandas, scikit-learn, TensorFlow, PyTorch).
• Experience with LLMs, NLP, or Generative AI models.
• Strong understanding of supervised, unsupervised, and deep learning algorithms.
• Experience with data visualization tools (Matplotlib, Seaborn, Plotly, Power BI, or Tableau).
• Familiarity with cloud platforms (AWS, Google Cloud Platform, or Azure) and ML Ops tools (MLflow, Kubeflow, Airflow).
• Solid knowledge of SQL and data querying.
• Strong analytical and problem-solving skills, with attention to detail.

Company Overview
• Welcome to Jobs via Dice, the go-to destination for discovering the tech jobs you want. It was founded in undefined, and is headquartered in , with a workforce of 0-1 employees. Its website is https://www.dice.com.",Jobright
Data Scientist,Data Scientist,Ascend Analytics,"Boulder, CO","Boulder, CO or Remote within U.S.  (local candidates prioritized)

Please note: Ascend Analytics is not able to offer visa sponsorships at this time.

 

Your Impact at Ascend Analytics 

As a Data Scientist, you will be responsible for advancing energy markets modeling to support the clean-tech power revolution. Your strong analytical skills and ability to develop innovative problem-solving solutions will support mission critical decision analytics for renewable and battery storage power providers around the globe. Responsibilities include prototyping new solutions and extending existing models. Required skills include knowledge of classical and deep learning ML approaches and ability to implement them in Python. Familiarity with electrical energy systems and markets is preferred.   

Ascend Analytics is an innovative ""climate tech"" software and consulting company focused on energy analytics that are transforming the electric grid. Ascend's solutions provide the analytics to support critical power supply decisions from operating strategies, for short and long-term investment and resource planning decisions. For more information, visit www.ascendanalytics.com. 

Job Responsibilities 
• Develop, evaluate, automate, optimize, and monitor performance of new data science models and algorithms  
• Experiment with different data science modeling approaches (e.g. deep learning, regression, boosting, trees, etc.) in Python and research state-of-the-art modeling techniques that could apply to energy forecasting problems  
• Develop new model features in coordination with SMEs  
• Optimize and enhance computational efficiency of algorithms and software design  
• Develop both prototype models and production software   
• Supporting existing commercial software and production systems   
• This position also involves algorithms in statistics and finance applications, stochastic search, simulating high penetrations of wind and solar energy, optimizing generation under uncertainty, and planning and control of electric battery storage.  

Required Qualifications 
• Bachelors Degree or higher in Computer Science, Data Science, Statistics, Operations Research, Economics, Power Systems, or related discipline 
• 1+ years of industry or academic experience in the field  
• Experience in Python and relevant libraries (e.g., NumPy, Pandas, SciPy)   
• Time series modeling and advanced statistics   
• Ability to communicate with impact and confidence, both verbally and in writing   
• Strong interpersonal skills, teamwork skills, and work ethic   
• Interest in learning about and deploying novel software solutions   
• Prior knowledge of, or strong interest in learning about wholesale electricity markets  

Compensation: $80,000 - $130,000                   

Negotiable based on qualifications and experience. Ascend highly values our employees and often pays above industry average. 

We offer flexible work hours in a relaxed environment with opportunities for advancement and excellent benefits, including medical, dental, vision, short- and long-term disability, parental leave, dependent care spending account, and a 401k plan.  

We celebrate diversity and are committed to creating an inclusive environment for all employees. Ascend Analytics is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information or other applicable legally protected characteristics.   

Ascend Analytics is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please contact us at recruiting@ascendanalytics.com .",LinkedIn
Data Scientist,Principal Data Scientist- Generative AI,Citizens,United States,"Description

As a Principal Data Scientist, you will lead the strategic application of Generative AI across the bank, leveraging Large Language Models (LLMs) to drive innovation, improve operational efficiency, and enhance customer and employee experiences. This role requires deep expertise in NLP, hands-on experience with Generative AI tools, and the ability to guide teams in responsibly integrating these technologies into business processes.

Key Responsibilities
• Lead the design and implementation of solutions using LLMs and Generative AI tools for complex workflows and processes.
• Partner with business, risk, compliance, and technology teams to identify high-impact use cases and ensure responsible AI deployment.
• Guide data preparation efforts, including sourcing, cleaning, and structuring data for LLM input and evaluation.
• Evaluate model performance, conduct error analysis, and iterate on prompt engineering and fine-tuning strategies where applicable.
• Stay ahead of emerging trends in Generative AI and NLP, and assess their relevance to banking applications.
• Mentor junior data scientists and contribute to the development of best practices for AI adoption across the organization.
• Communicate technical concepts and findings clearly to executive stakeholders, regulators, and cross-functional teams.

Qualifications
• Required:
• 7+ years of experience in data science, machine learning, or applied AI.
• Proven experience applying Generative AI and LLMs in production or pilot environments.
• Strong proficiency in Python and experience with NLP libraries and frameworks (e.g., LangChain, Autogen, Strands, etc.).
• Deep understanding of NLP techniques and their practical applications.
• Experience working with unstructured data and integrating AI solutions into business workflows.
• Strong communication and leadership skills, including technical writing and stakeholder engagement.
• Preferred:
• Experience with prompt engineering, model evaluation, and LLM orchestration.
• Familiarity with cloud platforms and MLOps tools.
• Experience interacting with model validation teams and regulators.

Education
• Required: Master’s or Ph.D. in Computer Science, Mathematics, Statistics, or a related field.

Hours & Work Schedule
• Hours per Week: 40
• Work Schedule: Monday - Friday
• Hybrid: 4 days on site at a Citizens Corporate Office, 1 day remote

Some job boards have started using jobseeker-reported data to estimate salary ranges for roles. If you apply and qualify for this role, a recruiter will discuss accurate pay guidance.

Equal Employment Opportunity

Citizens, its parent, subsidiaries, and related companies (Citizens) provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to age, ancestry, color, citizenship, physical or mental disability, perceived disability or history or record of a disability, ethnicity, gender, gender identity or expression, genetic information, genetic characteristic, marital or domestic partner status, victim of domestic violence, family status/parenthood, medical condition, military or veteran status, national origin, pregnancy/childbirth/lactation, colleague’s or a dependent’s reproductive health decision making, race, religion, sex, sexual orientation, or any other category protected by federal, state and/or local laws. At Citizens, we are committed to fostering an inclusive culture that enables all colleagues to bring their best selves to work every day and everyone is expected to be treated with respect and professionalism. Employment decisions are based solely on merit, qualifications, performance and capability.
Why Work for UsAt Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth

Background Check

Any offer of employment is conditioned upon the candidate successfully passing a background check, which may include initial credit, motor vehicle record, public record, prior employment verification, and criminal background checks. Results of the background check are individually reviewed based upon legal requirements imposed by our regulators and with consideration of the nature and gravity of the background history and the job offered. Any offer of employment will include further information.",CareerCircle
Data Scientist,"Data Scientist II – QuantumBlack, AI by McKinsey",McKinsey & Company,"Seattle, WA (+10 others)","Your Growth Driving lasting impact and building long-term capabilities with our clients is not easy work. You are the kind of person who thrives in a high performance/high reward culture - doing hard things, picking yourself up when you stumble, and having the resilience to try another way forward.

In return for your drive, determination, and curiosity, we'll provide the resources, mentorship, and opportunities you need to become a stronger leader faster than you ever thought possible. Your colleagues—at all levels—will invest deeply in your development, just as much as they invest in delivering exceptional results for clients. Every day, you'll receive apprenticeship, coaching, and exposure that will accelerate your growth in ways you won’t find anywhere else.

When you join us, you will have:
• Continuous learning: Our learning and apprenticeship culture, backed by structured programs, is all about helping you grow while creating an environment where feedback is clear, actionable, and focused on your development. The real magic happens when you take the input from others to heart and embrace the fast-paced learning experience, owning your journey.
• A voice that matters: From day one, we value your ideas and contributions. You’ll make a tangible impact by offering innovative ideas and practical solutions. We not only encourage diverse perspectives, but they are critical in driving us toward the best possible outcomes.
• Global community: With colleagues across 65+ countries and over 100 different nationalities, our firm’s diversity fuels creativity and helps us come up with the best solutions for our clients. Plus, you’ll have the opportunity to learn from exceptional colleagues with diverse backgrounds and experiences.
• World-class benefits: On top of a competitive salary (based on your location, experience, and skills), we provide a comprehensive benefits package to enable holistic well-being for you and your family.

Your ImpactAs a Data Scientist II, you will collaborate with clients and interdisciplinary teams to understand client needs, develop impactful advanced analytics and AI solutions, optimize code, and solve complex business challenges across industries.

You’ll grow your expertise by contributing to cutting-edge projects, R&D, and global conferences while working alongside top-tier talent in a dynamic, innovative environment.

Your work will drive meaningful change. By uncovering patterns in data and delivering innovative solutions, you’ll help clients stay competitive, transform operations, and achieve lasting improvements. Here’s how you might contribute in a given year:
• Build a digital twin of a defense supply chain to enhance military hardware availability.
• Leverage agentic AI to improve customer service outcomes for a global travel company.
• Optimize the schedule and funding of a multi-billion-dollar capital project to accelerate delivery.

You’ll contribute to projects across industries and data science expertise areas, eventually choosing your own path to build your expertise and skills. You should expect this role to include at least some work in critical industries (Aerospace, Defense, Utilities, Oil and Gas), but you will have the ability to serve other industries as well.

Day to day, you’ll tackle complex challenges in partnership with senior data scientists, engineers, designers, and domain experts. You will:
• Translate business questions into analytical approaches and select the right techniques for each problem
• Conduct exploratory data analysis
• Design, implement, and evaluate models—from traditional machine learning to deep learning to LLMs -- using rigorous metrics and A/B tests. When appropriate, you’ll build production-grade RAG pipelines and assess LLM output quality / hallucinations
• Deploy models via APIs or batch pipelines, write unit tests, and set up monitoring dashboards to track performance and drift
• Document assumptions, communicate results in clear, actionable language, and collaborate with engineers to integrate solutions into user-facing applications.
• Build models which are accurate, explainable, and free from bias
• Optimize inference latency and cost through parameter-efficient tuning, quantization, and accelerated serving stacks

Additionally, you will contribute to internal tools, participate in R&D projects, and have opportunities to attend and present at leading conferences like NIPS and ICML.

You will be based in one of our U.S. locations and collaborate closely with data scientists, data engineers, machine-learning engineers, designers, and product managers around the world.

Your qualifications and skills
• Bachelor’s degree in computer science with 2+ years of professional experience OR Masters or PhD a discipline such as computer science, mathematics, statistics or electrical engineering
• Professional experience in applying machine learning and data mining techniques to real problems with copious amounts of data
• Development experience (focus on machine learning): SQL and Python’s data-science stack; proficiency with Spark/PySpark for distributed workloads. We use the right tech for the task and often work within clients’ stacks. Technologies you may encounter include Airflow, Databricks, Dask/RAPIDS, containerization with Docker and Kubernetes, and the major clouds (AWS, GCP, Azure, Oracle)
• GenAI experience a plus: parameter-efficient tuning, RAG architectures, vector-store technologies, LLM evaluation
• Exceptional time management to meet your responsibilities in a complex and largely autonomous work environment
• Strong communication skills, both verbal and written, in English and local office language(s), with the ability to adjust your style to suit different perspectives and seniority levels
• Willingness to travel",McKinsey
